OXOX X XOOX O X ,0
XXOXOOXOXOXXOXO ,0
  X OXOOX OXOOXX,1
OOXOXXOXXOXXOOXO,1
OXO XXOXOXOOXOXX,0
XXXXOXOXOOOOOXOX,1
OX XOXOX  XOOOXX,0
XX OOXOXXXOOXO  ,0
XXX OXOOX O X  O,0
XXXOXOOOOXXOXOOX,1
XO XXXO OX OXOOX,0
XXO OX  OXOOOXXX,0
O XXO XOX X  OXO,0
OXXXXO OX OXOOOX,1
XO XOOOO O X XXX,1
O X OXO  XXO OXX,0
OXOX  X XXOXXOOO,0
X X OXO X O X  O,0
OOXO XO X OOXXXX,0
XXXOXXOXOXOOOOOX,1
XOOOOXX  XOXXXOO,1
XXXXXOXOOOXOXOOO,1
XX XOOXX XXOOOOO,1
XOOXXOXXOXXXOOOO,1
XX XXO OX OOOOX ,1
OOX OOX XOXX  X ,0
  X X O  XOOOOXX,1
XOXOOXXOOXXX OOX,0
XXXOXXXXOOXOOOOO,1
XOXXOXOXXOXXOOOO,1
OOXOXOXXXXXOOOX ,0
XXXO X XOXOOOOOX,1
OXOXXOX OXXXOOXO,0
XXOXOOXOOXOX XOX,0
OXOXXX OOXXOXO  ,0
XXOXX OO OXOOX  ,1
XXXXO X OXOOOOXO,1
 OX OX  XOOOX XX,0
XO   XOOOOXXX OX,1
 XXOOXX   XOOXO ,0
OXOOOOXXXOOXOXXX,1
XOXXOXOOXXOXOOOX,1
XOOOXXOXXOOXOXXO,1
XO O  OXOOXOX XX,1
OOXOOOXXXXXX XOO,0
XXXOXOXX OOXOOOX,0
OOXOOOXXXXOX   X,0
 XOXX O XX OOXO ,0
OOXX  OXXOOXOX X,0
OOOOOXXXXOOXXOXX,1
OXOOOOXOXX XOX X,1
XOOXXOOOXXOX XOX,0
XOXOXXXXXXOOOOOO,1
XXOXOXOXXOOOOOXX,1
OOOOXXOXOXXXOOXX,1
OXXOOXOXOOXXXOOX,1
OOXOOOOX  XXXXXO,1
OXOXOOXX OOXOXXX,0
OXXOXXOOOXX XXOO,0
XXOOXXOOOXO XOXX,0
 XXXXXOXOOOOO XO,1
OXXOXO OXOXOXOXX,0
  OOOOX XXX  XO ,1
XOOXXXXOXOOOOXOX,1
XO OXXXOXXO X OO,0
 XXXOXX OXOOOOOX,1
OXOXXXO XOXOXOXO,0
  XOOXOOXX  X OX,0
O X  X  OX OX OX,0
XOX XXXOOXOOXXOO,0
 OOXXXOX XXO XOO,0
OOOOXXXXOOXOXXOX,1
XXOXXXXOOXXOOOOO,1
OXXXXOOXOXOX OXO,0
 X  XOOOOX X    ,1
XXX X OOOO OXOX ,1
XX OXX O XXOOOXO,0
XXXOOXOOXOXXOXOO,1
XOOOOXX OXXX OXO,1
OXXOOXX XOO XX O,0
OXXO OXXXO XO XO,0
OOOXO OX XX XX  ,0
OOX OX   X O XX ,0
XOOXX OX  OX OX ,0
OOOOO X XXX X OX,1
 OOX OX OXX  XXO,0
 XXOOOXXXXXOOXOO,0
O OO O  OXXOXXXX,1
O XXOXOO XXXOXO ,0
OOOXXXXXXOO XOOX,0
O X OOOOX  XX  X,1
XXXOXOOO OOXO XX,1
OXX  X   X OOXO ,0
X XOOOXXXXOXXOOO,0
 OX XX  X XOXOOO,0
XXXOOOXOOXOXX XO,0
OX O  OXXO XO X ,1
 XO  X OOX  X OX,0
XXXXXXOOOO OXO O,1
XOOOXXOXXOOXOOXX,1
XXOOXXXXOOOOOXOX,1
O  XXOOXO XXXXOO,0
O X  XXOXOXXOXOO,0
 OOXOXOO XXXXXOO,1
XOOXXXOOXOO XXXO,0
 OOXOXOO XXOOXXX,1
 XXXOOXOOOOXXOX ,1
OXOXOOXXXOOOXOXX,1
XOOXX OXOXXOXOOX,0
 XXXXX OOXOOOX O,0
XOXXOXO OXOO XX ,0
 X OXOOOXXXXO XO,0
XXOOOOX  X  OXXO,1
XOXXOOOOXOOXXXXO,1
OOX  OO XXOOXX X,1
XXOOXXXXOOOOOXXO,1
X O XXOXXOXOXOO ,0
XOOXOOXXXXXO XOO,0
OOOOXXXXOXOOXOXX,1
XOX OOXXOOX O XX,0
OOOXX OX  OXOXXX,0
OXX OOXXXOOXOXXO,0
OOOXXX XXX OOOOX,1
XO OXX   X XXOOO,0
O X  XX  XOOOO X,1
XXOOOXXXOXOXXOO ,0
XXXXO OOOOX     ,1
OOXXOXXXOX OXOOX,0
OOOOXO XX   XOXX,1
XXOXOXXOOOOXXOOX,1
